ActorId,Name,Race,Gender,Faction
dan_ru,Dan-Ru,Argonian,Male,
deesh-meeus,Deesh-Meeus,Argonian,Female,
dialog placeholder,dialog placeholder,Argonian,Male,
dreaded_water,Dreaded-Water,Argonian,Male,
el-lurasha,El-Lurasha,Argonian,Female,
eleedal_lei,Eleedal-Lei,Argonian,Male,
eutei,Eutei,Argonian,Female,
fine_mouth,Fine-Mouth,Argonian,Male,
gah_julan,Gah Julan,Argonian,Male,
gam-kur,Gam-Kur,Argonian,Male,
Geel_Lah,Geel-Lah,Argonian,Male,Twin Lamps
gih-ja,Gih-Ja,Argonian,Female,
gilm,Gilm,Argonian,Female,
gish,Gish,Argonian,Female,
grey_throat,Grey-Throat,Argonian,Male,
han-tulm,Han-Tulm,Argonian,Male,
haran,Haran,Argonian,Male,
hathei,Hathei,Argonian,Male,
heedul,Heedul,Argonian,Male,
heem_la,Heem-La,Argonian,Male,Mages Guild
heir-zish,Heir-Zish,Argonian,Male,
hides_his_eyes,Hides His Eyes,Argonian,Male,
hides_his_foot,Hides-His-Foot,Argonian,Male,
high-heart,High-Heart,Argonian,Male,
hul,Hul,Argonian,Female,
huleeya,Huleeya,Argonian,Male,Morag Tong
huzei,Huzei,Argonian,Male,
Im_Kilaya,Im-Kilaya,Argonian,Male,Twin Lamps
inee,Inee,Argonian,Male,
itan,Itan,Argonian,Male,
j'ram-dar,J'Ram-Dar,Argonian,Male,
jeed-ei,Jeed-Ei,Argonian,Female,
jeelus-tei,Jeelus-Tei,Argonian,Male,
jeer-maht,Jeer-Maht,Argonian,Male,
junal_lei,Junal-Lei,Argonian,Male,
kal_ma,Kal-Ma,Argonian,Female,
kasa,Kasa,Argonian,Female,
keel_raniur,Keel-Raniur,Argonian,Female,
lord cluttermonkey,Lord Cluttermonkey,Argonian,Male,
meeh-mei,Meeh-Mei,Argonian,Female,
meen-sa,Meen-Sa,Argonian,Female,
meer,Meer,Argonian,Male,
milah,Milah,Argonian,Female,
mim-jeen,Mim-Jeen,Argonian,Female,
miun_gei,Miun-Gei,Argonian,Male,
morning_clouds,Morning-Star-Steals-Away-Clouds,Argonian,Male,
mush_mere,Mush-Mere,Argonian,Male,
muz-ra,Muz-Ra,Argonian,Female,
nakuma,Nakuma,Argonian,Female,
nam-la,Nam-La,Argonian,Female,
neesha,Neesha,Argonian,Female,
Neetinei,Neetinei,Argonian,Male,
Nelix Fly-Breath,Nelix Fly-Breath,Argonian,Male,
nine_toes,Nine-Toes,Argonian,Male,Blades
nuralg,Nuralg,Argonian,Female,
nush,Nush,Argonian,Female,
Okan_Shei,Okan-Shei,Argonian,Male,
Okaw,Okaw,Argonian,Male,
Okur,Okur,Argonian,Female,
olank-neeus,Olank-Neeus,Argonian,Female,
oleen-gei,Oleen-Gei,Argonian,Male,
olink-nur,Olink-Nur,Argonian,Male,
on-wazei,On-Wazei,Argonian,Female,
On_Wan,On-Wan,Argonian,Female,
Onasha,Onasha,Argonian,Female,Twin Lamps
onlyhestandsthere,Only-He-Stands-There,Argonian,Male,
peeradeeh,Peeradeeh,Argonian,Male,
quarra vampire 5,Vampire,Argonian,Female,
rasha,Rasha,Argonian,Male,
reeh_jah,Reeh-Jah,Argonian,Male,
reemukeeus,Reemukeeus,Argonian,Male,
reesa,Reesa,Argonian,Male,
seen-rei,Seen-Rei,Argonian,Female,
seewul,Seewul,Argonian,Male,
servant arg male,Utadeek,Argonian,Male,
shatalg,Shatalg,Argonian,Female,
skeetul,Skeetul,Argonian,Male,
skinkintreesshade,Skink-in-Tree's-Shade,Argonian,Male,Mages Guild
smart_snake,Smart-Snake,Argonian,Male,
smokeskin_killer,Smokeskin-Killer,Argonian,Male,Telvanni
stream-murk,Stream-Murk,Argonian,Male,
tanan,Tanan,Argonian,Male,
tasha,Tasha,Argonian,Female,
tee_lan,Tee-Lan,Argonian,Male,
teegla,Teegla,Argonian,Male,
tern-feather,Tern-Feather,Argonian,Female,
tim-jush,Tim-Jush,Argonian,Male,
tongue_toad,Tongue-Toad,Argonian,Male,Thieves Guild
travellingnewwoman,Travelling-New-Woman,Argonian,Female,
tul,Tul,Argonian,Male,
twice_bitten,Twice-Bitten,Argonian,Male,
Ukawei,Ukawei,Argonian,Male,Twin Lamps
ula,Ula,Argonian,Male,
vistha_kai,Vistha-Kai,Argonian,Male,
wanan_dum,Wanan-Dum,Argonian,Male,
weeltul,Weeltul,Argonian,Male,
weer,Weer,Argonian,Male,
wih-eius,Wih-Eius,Argonian,Male,
wud-neeus,Wud-Neeus,Argonian,Male,
wuleen-shei,Wuleen-Shei,Argonian,Male,
wusha,Wusha,Argonian,Female,
gam-kur,Gam-Kur,Argonian,Male,
miun_gei,Miun-Gei,Argonian,Male,
Okan_Shei,Okan-Shei,Argonian,Male,East Empire Company
travellingnewwoman,Traveling-New-Woman,Argonian,Female,
weeltul,Weeltul,Argonian,Male,
Firemoth_Sailor,Silm-Dar,Argonian,Male,
effe_tei,Effe-Tei,Argonian,Male,
Ten-Tongues_Weerhat,'Ten-Tongues' Weerhat,Argonian,Male,
bereditte jastal,Bereditte Jastal,Breton,Male,
bereditte jastal_out,Bereditte Jastal,Breton,Male,
bm_werewolf_wild05,Gibbering Lunatic,Breton,Male,
bm_werewolf_wild06,Gibbering Lunatic,Breton,Male,
francois marquardt,Francois Marquardt,Breton,Male,
grandfather frost,Grandfather Frost,Breton,Male,
louis beauchamp,Louis Beauchamp,Breton,Male,
roberto jodoin,Captain Roberto Jodoin,Breton,Male,
simine fralinie,Simine Fralinie,Breton,Male,
abelle chriditte,Abelle Chriditte,Breton,Female,
aditte oges,Aditte Oges,Breton,Female,
ales julalanie,Ales Julalanie,Breton,Female,
Alodie Jes,Alodie Jes,Breton,Male,Imperial Legion
Ama Nin_DisguiseMara,Ama Nin,Breton,Female,
amarie charien,Amarie Charien,Breton,Female,Imperial Legion
andre maul,Andre Maul,Breton,Male,
arbene gernis,Arbene Gernis,Breton,Female,Telvanni
arielle phiencel,Arielle Phiencel,Breton,Female,Mages Guild
arnand liric,Arnand Liric,Breton,Male,Imperial Legion
astien masoriane,Astien Masoriane,Breton,Male,
aurane frernis,Aurane Frernis,Breton,Female,
aurnie vanne,Aurnie Vanne,Breton,Female,Hlaalu
bandit_scruffy_de_hrggh,Gaban,Breton,Male,
barnand erelie,Barnand Erelie,Breton,Male,Mages Guild
belene yvienne,Belene Yvienne,Breton,Female,Telvanni
Birard Adrognese,Birard Adrognese,Breton,Male,Imperial Legion
bovkinna,Bovkinna,Breton,Female,
breton dancer girl,Marelle,Breton,Female,
chargen class,Socucius Ergalla,Breton,Male,Census and Excise
ciel nestal,Ciel Nestal,Breton,Male,Telvanni
cienne sintieve,Cienne Sintieve,Breton,Female,
cirges adrard,Cirges Adrard,Breton,Male,Telvanni
dabienne mornardl,Dabienne Mornardl,Breton,Female,Mages Guild
Danders,Danders,Breton,Male,
darene bienne,Darene Bienne,Breton,Female,
daric bielle,Daric Bielle,Breton,Male,
debentien sylbenitte,Debentien Sylbenitte,Breton,Male,Telvanni
derelle ysciele,Derelle Ysciele,Breton,Female,Telvanni
edwinna elbert,Edwinna Elbert,Breton,Female,Mages Guild
emusette bracques,Emusette Bracques,Breton,Female,Mages Guild
ernand thierry,Ernand Thierry,Breton,Male,Mages Guild
ernard genis,Ernard Genis,Breton,Male,
faric panoit,Faric Panoit,Breton,Male,Telvanni
fasele viralaine,Fasele Viralaine,Breton,Female,
fasile charascel,Fasile Charascel,Breton,Female,Fighters Guild
fenas madach,Fenas Madach,Breton,Male,Thieves Guild
ferarilie riscel,Ferarilie Riscel,Breton,Male,Telvanni
frelene acques,Frelene Acques,Breton,Female,
frizkav brutya,Frizkav Brutya,Breton,Male,Thieves Guild
Frostien Ephine,Frostien Ephine,Breton,Male,Imperial Legion
geor matreinace,Geor Matreinace,Breton,Male,
gulitte cienne,Gulitte Cienne,Breton,Female,
helviane desele,Helviane Desele,Breton,Female,
Heniele Milielle,Heniele Milielle,Breton,Female,Redoran
Idhdean Tailas,Idhdean Tailas,Breton,Male,
Ingwold,Inwold,Breton,Male,
Irbran Kirbatha,Irbran Kirbatha,Breton,Male,
jadier mannick,Jadier Mannick,Breton,Male,
janand maulinie,Janand Maulinie,Breton,Female,Mages Guild
jeanciele macile,Jeanciele Macile,Breton,Male,
jeberilie moniel,Jeberilie Moniel,Breton,Female,Telvanni
jerian dolbanitte,Jerian Dolbanitte,Breton,Male,
jocien ancois,Jocien Ancois,Breton,Male,Imperial Cult
joncis dalomax,Joncis Dalomax,Breton,Male,Imperial Legion
Joslin,Joslin,Breton,Female,
ken,Admiral Rolston,Breton,Male,
lanie endre,Lanie Endre,Breton,Male,
leles birian,Leles Birian,Breton,Female,
lielle vette,Lielle Vette,Breton,Female,Telvanni
lirielle stoine,Lirielle Stoine,Breton,Female,Thieves Guild
listien bierles,Listien Bierles,Breton,Male,Mages Guild
mabrelle geles,Mabrelle Geles,Breton,Female,
malielle broles,Malielle Broles,Breton,Female,Telvanni
Maline Masolaude,Maline Masolaude,Breton,Female,
manis virmaulese,Manis Virmaulese,Breton,Male,Mages Guild
maranique jolvanne,Maranique Jolvanne,Breton,Female,
marcel maurard,Marcel Maurard,Breton,Male,
marielle amedee,Marielle Amedee,Breton,Female,
marthe arthe,Marthe Arthe,Breton,Female,
masalinie merian,Masalinie Merian,Breton,Female,Mages Guild
maurrie aurmine,Maurrie Aurmine,Breton,Female,
mebestian ence,Mebestian Ence,Breton,Male,
melie frenck,Melie Frenck,Breton,Female,Temple
merard geves,Merard Geves,Breton,Male,Telvanni
merthierry laelippe,Merthierry Laelippe,Breton,Male,
milie hastien,Milie Hastien,Breton,Female,
miner juillen,Miner Juillen,Breton,Male,
muriel sette,Muriel Sette,Breton,Female,Thieves Guild
noleon sele,Noleon Sele,Breton,Male,Telvanni
ormax geles,Ormax Geles,Breton,Male,
orrent geontene,Orrent Geontene,Breton,Male,Mages Guild
paur maston,Paur Maston,Breton,Male,
Perien Aurelie,Perien Aurelie,Breton,Male,
phane rielle,Phane Rielle,Breton,Male,Thieves Guild
pierlette rostorard,Pierlette Rostorard,Breton,Female,Telvanni
piernette beluelle,Piernette Beluelle,Breton,Female,
relie jeannie,Relie Jeannie,Breton,Female,Telvanni
Relien Rirne,Relien Rirne,Breton,Male,
rianciene aurilie,Rianciene Aurilie,Breton,Female,Telvanni
ronerelie philulanie,Ronerelie Philulanie,Breton,Female,Telvanni
Ruran Stoine,Ruran Stoine,Breton,Male,
simine fralinie,Simine Fralinie,Breton,Male,
sosia caristiana,Sosia Caristiana,Breton,Female,
surane leoriane,Surane Leoriane,Breton,Female,Blades
synette jeline,Synette Jeline,Breton,Female,
thetrard phirrienele,Thetrard Phirrienele,Breton,Male,
varnis stieve,Varnis Stieve,Breton,Male,
verick gemain,Verick Gemain,Breton,Male,
vienne gilelle,Vienne Gilelle,Breton,Female,
Virene Mene,Virene Mene,Breton,Female,Hlaalu
ylbert meric,Ylbert Meric,Breton,Male,
frizkav brutya,Frizkav Brutya,Breton,Male,Thieves Guild
helviane desele,Helviane Desele,Breton,Female,
louis beauchamp,Louis Beauchamp,Breton,Male,
mebestian ence,Mebestien Ence,Breton,Male,
fenas madach,Fenas Madach,Breton,Male,Thieves Guild
helviane desele,Helviane Desele,Breton,Female,
asciene rane,Asciene Rane,Breton,Female,
detritus caria,Detritus Caria,Breton,Male,
Dilborn,Dilborn,Breton,Male,
Edre Retene,Edre Retene,Breton,Female,
Elbert Nermarc,Elbert Nermarc,Breton,Male,
Geon Auline,Geon Auline,Breton,Male,
Jeanne Andre,Jeanne Andre,Breton,Female,
mitanne limax,Mitanne Limax,Breton,Female,
Myn Farr,Myn Farr,Breton,Male,Clan Berne
rerlas mon,Rerlas Mon,Breton,Male,
Aldam Berendus,Aldam Berendus,Dark Elf,Male,East Empire Company
bm_roguenecro1,Rogue Necromancer,Dark Elf,Male,
bm_roguenecro2,Necromancer's Apprentice,Dark Elf,Male,
bm_roguenecro3,Necromancer's Apprentice,Dark Elf,Female,
bm_smugglers_darkelf,Smuggler,Dark Elf,Male,
bm_smugglers_darkelf_f,Smuggler,Dark Elf,Female,
bm_werewolf_wild03,Insane Wanderer,Dark Elf,Female,
Chappy_test_guy,Chappy's Test guy,Dark Elf,Male,
Dralora Favelnim,Dralora Favelnim,Dark Elf,Female,East Empire Company
Gamin Girith,Gamin Girith,Dark Elf,Male,East Empire Company
Garnas Uvalen,Garnas Uvalen,Dark Elf,Male,East Empire Company
Garnas Uvalen_guard,Garnas Uvalen,Dark Elf,Male,East Empire Company
Gidar Verothan,Gidar Verothan,Dark Elf,Male,East Empire Company
manabi virith,Manabi Virith,Dark Elf,Female,
manolos virith,Manolos Virith,Dark Elf,Male,
Sathyn Andrano,Sathyn Andrano,Dark Elf,Male,East Empire Company
Seler Favelnim,Seler Favelnim,Dark Elf,Male,East Empire Company
thauraver,Thauraver,Dark Elf,Male,
Tirvel Balen,Tirvel Balen,Dark Elf,Male,
Unel Lloran,Unel Lloran,Dark Elf,Male,East Empire Company
Uryn Maren,Uryn Maren,Dark Elf,Male,East Empire Company
veresa alver,Veresa Alver,Dark Elf,Female,
dalin norvayne,Dalin Norvayne,Dark Elf,Male,
daris norvayne,Daris Norvayne,Dark Elf,Male,
dorisa darvel,Dorisa Darvel,Dark Elf,Female,
dandera selaro,Dandera Selaro,Dark Elf,Female,
folms mirel,Folms Mirel,Dark Elf,Male,Mages Guild
nibani maesa,Nibani Maesa,Dark Elf,Female,Ashlanders
salen ravel,Salen Ravel,Dark Elf,Male,Temple
ababael timsar-dadisun,Ababael Timsar-Dadisun,Dark Elf,Male,Ashlanders
abassel asserbassalit,Abassel Asserbassalit,Dark Elf,Male,
abibaal assillariran,Abibaal Assillariran,Dark Elf,Male,
abishpulu shand,Abishpulu Shand,Dark Elf,Male,
adairan lalansour,Adairan Lalansour,Dark Elf,Male,
adaishah ahanidiran,Adaishah Ahanidiran,Dark Elf,Male,
adaves therayn,Adaves Therayn,Dark Elf,Male,
addammus,Addammus,Dark Elf,Male,Ashlanders
addarnat assardidairan,Addarnat Assardidairan,Dark Elf,Male,
addut-lamanu,Addut-Lamanu,Dark Elf,Female,Ashlanders
adibael hainnabibi,Adibael Hainnabibi,Dark Elf,Male,
Adil Norvayn,Adil Norvayn,Dark Elf,Male,
Adondasi Sadalvel,Adondasi Sadalvel,Dark Elf,Male,
Adosi Darano,Adosi Darano,Dark Elf,Male,
adrusu rothrano,Adrusu Rothrano,Dark Elf,Female,Temple
adusamsi assurnarairan,Adusamsi Assurnarairan,Dark Elf,Female,Imperial Cult
ahanabi assullinbanud,Ahanabi Assullinbanud,Dark Elf,Female,
ahasour,Ahasour,Dark Elf,Male,Ashlanders
ahaz,Ahaz,Dark Elf,Male,Ashlanders
ainab,Ainab,Dark Elf,Male,Ashlanders
ainab yassabisun,Ainab Yassabisun,Dark Elf,Male,
ainat maessabibi,Ainat Maessabibi,Dark Elf,Male,
alanil llaram,Alanil Llaram,Dark Elf,Male,
alarvyne indalas,Alarvyne Indalas,Dark Elf,Female,
Alavesa Samori,Alavesa Samori,Dark Elf,Female,
alds baro,Alds Baro,Dark Elf,Male,Redoran
aldyne arenim,Aldyne Arenim,Dark Elf,Female,
alenus vendu,Alenus Vendu,Dark Elf,Female,Telvanni
aleri duro,Aleri Duro,Dark Elf,Female,
alfe fyr,Alfe Fyr,Dark Elf,Female,
Alms Helothren,Alms Helothren,Dark Elf,Male,
almse arenim,Almse Arenim,Dark Elf,Female,Hlaalu
almsi oren,Almsi Oren,Dark Elf,Female,
alnas sendu,Alnas Sendu,Dark Elf,Male,
aloie indaram,Aloie Indaram,Dark Elf,Female,
Alonisea Varys,Alonisea Varys,Dark Elf,Female,
alurue saryon,Alurue Saryon,Dark Elf,Female,
alvela saram,Alvela Saram,Dark Elf,Female,Temple
alven salas,Alven Salas,Dark Elf,Male,Morag Tong
alveno andules,Alveno Andules,Dark Elf,Female,Hlaalu
alvis teri,Alvis Teri,Dark Elf,Male,
Alvor Andas,Alvor Andas,Dark Elf,Male,
Alvos Sadri,Alvos Sadri,Dark Elf,Male,
alvur hleran,Alvur Hleran,Dark Elf,Male,
Alvura Othrenim,Alvura Othrenim,Dark Elf,Female,
Alynu Aralen,Alynu Aralen,Dark Elf,Female,
amili llaram,Amili Llaram,Dark Elf,Female,
anas ulven,Anas Ulven,Dark Elf,Male,Camonna Tong
anasour selitbael,Anasour Selitbael,Dark Elf,Male,
andalin hardil,Andalin Hardil,Dark Elf,Female,Temple
anden thilarvel,Anden Thilarvel,Dark Elf,Male,
andilo thelas,Andilo Thelas,Dark Elf,Female,Hlaalu
andilu drothan,Andilu Drothan,Dark Elf,Female,Hlaalu
andril othran,Andril Othran,Dark Elf,Male,
anel rethelas,Anel Rethelas,Dark Elf,Male,
anes hlaren,Anes Hlaren,Dark Elf,Male,
anes vendu,Anes Vendu,Dark Elf,Male,
Angahran,Angahran,Dark Elf,Female,Morag Tong
angaredhel,Angaredhel,Dark Elf,Male,Telvanni
anis seloth,Anis Seloth,Dark Elf,Female,Telvanni
anise romoran,Anise Romoran,Dark Elf,Female,Redoran
anit eramarellaku,Anit Eramarellaku,Dark Elf,Male,
ano andaram,Ano Andaram,Dark Elf,Male,
ano dran,Ano Dran,Dark Elf,Male,
ano vando,Ano Vando,Dark Elf,Male,
ansu senatbael,Ansu Senatbael,Dark Elf,Female,
antu assarrimisun,Antu Assarrimisun,Dark Elf,Female,
aralosea romori,Aralosea Romori,Dark Elf,Female,
arantamo,Crazy-Legs Arantamo,Dark Elf,Male,Thieves Guild
arara uvulas,Arara Uvulas,Dark Elf,Female,Telvanni
Aras Girendas,Aras Girendas,Dark Elf,Male,
arelvam sadrano,Arelvam Sadrano,Dark Elf,Male,
aren maren,Aren Maren,Dark Elf,Male,
arethan mandas,Arethan Mandas,Dark Elf,Male,
arns saren,Arns Saren,Dark Elf,Female,Redoran
arns uvalas,Arns Uvalas,Dark Elf,Male,
arnsi nerandas,Arnsi Nerandas,Dark Elf,Female,
aroa nethalen,Aroa Nethalen,Dark Elf,Male,Temple
aron andaren,Aron Andaren,Dark Elf,Male,Telvanni
arsyn salas,Arsyn Salas,Dark Elf,Male,Morag Tong
artisa arelas,Artisa Arelas,Dark Elf,Female,
arvama rathri,Arvama Rathri,Dark Elf,Female,Hlaalu
arvamea dalvani,Arvamea Dalvani,Dark Elf,Female,
arvela falas,Arvela Falas,Dark Elf,Female,Hlaalu
arven nalyn,Arven Nalyn,Dark Elf,Male,
Arver Rethul,Arver Rethul,Dark Elf,Male,Thieves Guild
arvs raram,Arvs Raram,Dark Elf,Male,Redoran
arvso tharen,Arvso Tharen,Dark Elf,Female,
arvyn llerayn,Arvyn Llerayn,Dark Elf,Male,Telvanni
aryne telnim,Aryne Telnim,Dark Elf,Female,
aryni orethi,Aryni Orethi,Dark Elf,Female,
aryon,Aryon,Dark Elf,Male,Telvanni
asha-ammu kutebani,Asha-Ammu Kutebani,Dark Elf,Male,Imperial Legion
ashamanu,Ashamanu,Dark Elf,Female,
asharapli almu,Asharapli Almu,Dark Elf,Female,
ashibaal,Ashibaal,Dark Elf,Male,Ashlanders
ashu-ahhe,Ashu-Ahhe,Dark Elf,Male,Ashlanders
ashuma-nud matluberib,Ashuma-Nud Matluberib,Dark Elf,Male,
ashumanu eraishah,Ashumanu Eraishah,Dark Elf,Female,
ashur-dan,Ashur-Dan,Dark Elf,Male,Ashlanders
assaba-bentus,Assaba-Bentus,Dark Elf,Male,Ashlanders
assallit assunbahanammu,Assallit Assunbahanammu,Dark Elf,Male,Ashlanders
assamanu shashipal,Assamanu Shashipal,Dark Elf,Female,
assamanut sonnerralit,Assamanut Sonnerralit,Dark Elf,Male,
assamma-idan,Assamma-Idan,Dark Elf,Male,Ashlanders
assantushansar,Assantus Hansar,Dark Elf,Male,Ashlanders
assatlit assudnilamat,Assatlit Assudnilamat,Dark Elf,Male,
assemmus,Assemmus,Dark Elf,Male,Ashlanders
Assi Serimilk,Assi Serimilk,Dark Elf,Female,
Assimusa Samsi,Assimusa Samsi,Dark Elf,Female,
assirari zama-rasour,Assirari Zama-Rasour,Dark Elf,Female,
assumanu mantiti,Assumanu Mantiti,Dark Elf,Female,
assurdan serdimapal,Assurdan Serdimapal,Dark Elf,Male,
athal nerano,Athal Nerano,Dark Elf,Male,Hlaalu
athanden girith,Athanden Girith,Dark Elf,Male,
ather belden,Ather Belden,Dark Elf,Male,Thieves Guild
athesie andas,Athesie Andas,Dark Elf,Female,
athyn sarethi,Athyn Sarethi,Dark Elf,Male,Redoran
aundae vampire 1,Vampire,Dark Elf,Female,
aundae vampire 5,Vampire,Dark Elf,Male,
avon oran,Serjo Avon Oran,Dark Elf,Male,Hlaalu
avon ravel,Avon Ravel,Dark Elf,Male,
avoni dren,Avoni Dren,Dark Elf,Female,Telvanni
avron gols,Avron Gols,Dark Elf,Male,Hlaalu
Avus Belvilo,Avus Belvilo,Dark Elf,Male,Hlaalu
badala velothren,Badala Velothren,Dark Elf,Female,
badama andarys,Badama Andarys,Dark Elf,Female,
baladas demnevanni,Baladas Demnevanni,Dark Elf,Male,Telvanni
balen andrano,Balen Andrano,Dark Elf,Male,Redoran
balen sedrethi,Balen Sedrethi,Dark Elf,Male,Hlaalu
balen vendu,Balen Vendu,Dark Elf,Female,
baleni salavel,Baleni Salavel,Dark Elf,Female,
balis favani,Balis Favani,Dark Elf,Male,Telvanni
Balis Sari,Balis Sari,Dark Elf,Male,
balsa girith,Balsa Girith,Dark Elf,Female,
balur salvu,Balur Salvu,Dark Elf,Male,
balver sarethan,Balver Sarethan,Dark Elf,Male,Temple
balyn omavel,Balyn Omavel,Dark Elf,Male,Morag Tong
balyn omavel-DEAD,Balyn Omavel,Dark Elf,Male,Morag Tong
balynu teran,Balynu Teran,Dark Elf,Female,Redoran
banden indarys,Banden Indarys,Dark Elf,Male,Redoran
banor seran,Banor Seran,Dark Elf,Male,Camonna Tong
baren alen,Baren Alen,Dark Elf,Male,Hlaalu
barusi venim,Barusi Venim,Dark Elf,Male,Telvanni
beden giladren,Beden Giladren,Dark Elf,Male,
bedenea nethan,Bedenea Nethan,Dark Elf,Female,
Bedynea Gimalvel,Bedynea Gimalvel,Dark Elf,Female,
Belas Othren,Belas Othren,Dark Elf,Male,
beldrose dralor,Beldrose Dralor,Dark Elf,Male,Redoran
beleru hledri,Beleru Hledri,Dark Elf,Female,
belos falos,Belos Falos,Dark Elf,Male,Camonna Tong
belvis sedri,Belvis Sedri,Dark Elf,Male,
Benar Neleth,Benar Neleth,Dark Elf,Male,
benudni ilurnubishpal,Benudni Ilurnubishpal,Dark Elf,Female,
berapli ashumallit,Berapli Ashumallit,Dark Elf,Female,
beraren sadri,Beraren Sadri,Dark Elf,Male,
berel sala,Berel Sala,Dark Elf,Male,Temple
berela andrano,Berela Andrano,Dark Elf,Male,Redoran
berne vampire 1,Vampire,Dark Elf,Male,
berne vampire 3,Vampire,Dark Elf,Male,
Bertis Uvani,Bertis Uvani,Dark Elf,Male,
bervaso thenim,Bervaso Thenim,Dark Elf,Male,Temple
bervyn lleryn,Bervyn Lleryn,Dark Elf,Male,
bethes sarothril,Bethes Sarothril,Dark Elf,Male,Temple
bevadar bels,Bevadar Bels,Dark Elf,Male,
bevene releth,Bevene Releth,Dark Elf,Female,
beyte fyr,Beyte Fyr,Dark Elf,Female,
bidsi gilvayn,Bidsi Gilvayn,Dark Elf,Female,
bildren areleth,Bildren Areleth,Dark Elf,Male,
bilen velothril,Bilen Velothril,Dark Elf,Male,
bilos andrethi,Bilos Andrethi,Dark Elf,Male,
birama andaram,Birama Andaram,Dark Elf,Female,
birer indaram,Birer Indaram,Dark Elf,Male,Temple
bivale teneran,Bivale Teneran,Dark Elf,Female,
boderi farano,Boderi Farano,Dark Elf,Female,
Bodsa Nothryon,Bodsa Nothryon,Dark Elf,Female,
Bolayn Rethan,Bolayn Rethan,Dark Elf,Male,Hlaalu
boldrisa andrano,Boldrisa Andrano,Dark Elf,Female,Redoran
boler bandas,Boler Bandas,Dark Elf,Male,
bolnor andrani,Bolnor Andrani,Dark Elf,Male,Hlaalu
Bolvus Ieneth,Bolvus Ieneth,Dark Elf,Male,
bolvyn venim,Bolvyn Venim,Dark Elf,Male,Redoran
bolyn elval,Bolyn Elval,Dark Elf,Male,Redoran
boryn varen,Boryn Varen,Dark Elf,Male,
bradil elarven,Bradil Elarven,Dark Elf,Male,
bralas mels,Bralas Mels,Dark Elf,Male,
bralis seralas,Bralis Seralas,Dark Elf,Male,
bralsea seloth,Bralsea Seloth,Dark Elf,Female,
bralyn androthi,Bralyn Androthi,Dark Elf,Male,
brara morvayn,Mistress Brara Morvayn,Dark Elf,Female,Redoran
brarayni sarys,Brarayni Sarys,Dark Elf,Male,Telvanni
bratheru oran,Bratheru Oran,Dark Elf,Male,Hlaalu
brathus dals,Brathus Dals,Dark Elf,Male,
Bravora Relavel,Bravora Relavel,Dark Elf,Female,
bravosi henim,Bravosi Henim,Dark Elf,Male,Telvanni
braynas hlervu,Braynas Hlervu,Dark Elf,Male,
bredasu gilaram,Bredasu Gilaram,Dark Elf,Female,
brelar andas,Brelar Andas,Dark Elf,Male,
brelayne verano,Brelayne Verano,Dark Elf,Female,
brelda quintella,Brelda Quintella,Dark Elf,Female,Temple
