Done,Conflict,Source,InfoId,Race,Gender,SpeakerId,FactionId,FactionRank,DialogueText
FALSE,FALSE,Patch for Purists,_84394236323881445,Nord,Male,brynjolfr,,,"You've got my list of armor requirements and prices, %PCName. I can't make you a custom piece without the right materials. Come back when you have enough snow bear pelts."
FALSE,FALSE,Patch for Purists,_4354257353146619625,Nord,Male,brynjolfr,,,"You bring me the snow bear pelts and gold, and I'll make a piece of custom snow bear armor. I'll have it ready in twenty-four hours. You've got my list of prices and pelt requirements. Which piece of armor were you interested in?"
TRUE,FALSE,Patch for Purists,_21368251661447918574,Argonian,Male,nine_toes,,,"I'm trying to update our maps of the Bitter Coast. There are no good maps of this area. Period. Islands, mountains, swamps, lakes, rivers. It's impossible. I'm getting to know the swamps and waterways here, maybe as well as the natives. But I can't blend with the natives, and I'm useless in the West Gash or the Ashlands. And I don't see why the maps are so important. Smuggling, maybe. But I'm wondering if they're thinking about landing and moving the Legions through here. In case of trouble."
FALSE,FALSE,Patch for Purists,_19687285231110129998,Nord,Male,brynjolfr,,,"It's simple. You bring me the snow bear pelts and gold, and I'll make a piece of custom light snow bear armor. I even have a special method of treating the fur that will enhance the natural protective properties against frost. Whatever you order will be ready in twenty-four hours. Take this scroll. It lists my prices and requirements for each piece of armor. If you're interested, and you have enough pelts and gold, talk to me again. I'll fire up my forge, and you'll have your new armor in a day."
TRUE,FALSE,Patch for Purists,_3909221290721675,Nord,Male,thongar,,,A group of hard cases came through here recently. And an old dreugher says he's seen people putting goods ashore from a small boat on the coast northeast of Khuul. I think someone has a smugglers' operation in a cave nearby where they're stashing the stuff.
FALSE,FALSE,Patch for Purists,_2248484191897682,Imperial,Male,persius mercius,,,"Sjoring Hard-Heart is trying to make deals with the Camonna Tong. He thinks he's using them, but I think it's the other way around. These Camonna Tong bosses have been working here in Morrowind since before the Empire came. I don't think we can fool them. When I was the Master of the Fighters Guild here, I stayed out of local politics."
FALSE,FALSE,Patch for Purists,_12688252452795913279,Argonian,Male,onlyhestandsthere,,,"Tsiya has a little bit of a 'sweet tooth', if you know what I mean. I heard her connection hasn't arrived yet, though, and she's been acting a bit jumpy."
FALSE,FALSE,Patch for Purists,_29464191702272012639,Imperial,Male,fandus puruseius,,,An Orc over at the Gateway Inn in Sadrith Mora by the name of Gluronk was bragging about how her boss gave her a 'sanguine belt'.
TRUE,FALSE,Patch for Purists,_2501374731614330561,Dark Elf,Male,mevil molor,,,Mavon Drenim heard the Morag Tong was after him. He's prepared an ambush in the Telvanni Tower in Vivec.
FALSE,FALSE,Patch for Purists,_1856324162712123337,Breton,Female,edwinna elbert,,,"It is the sixth volume of Marobar Sul's 'Ancient Tales of the Dwemer'. Most of the 'Ancient Tales' are not truly Dwemer in origin, but this one may be an exception. It deals with some sort of golem or centurion. Would you be willing to 'borrow' this book for me?"
FALSE,FALSE,Patch for Purists,_1414520251920928501,Imperial,Male,albecius colollius,,,"Did you hear that some fool lost Mentor's Ring? In a tomb along the Bitter Coast, or so they say."
FALSE,FALSE,Patch for Purists,_20912004757393642,Dark Elf,Male,selkirnemus,,,"Tidros Indaram had to bail out Giras again. One of these days, Giras is going to go too far and even his family name won't protect him."
FALSE,FALSE,Patch for Purists,_22884317941981716432,Wood Elf,Male,celegorn,,,"Mistress Dratha has been looking for something called a 'Flesh Amulet'. I heard Master Neloth is keeping it from her, to try and get some concession on the Council."
FALSE,FALSE,Patch for Purists,_160202201873219182,Argonian,Male,Ten-Tongues_Weerhat,,,"It's a deal. Come back again sometime, okay?"
FALSE,FALSE,Patch for Purists,_1919923602187215225,Argonian,Male,Ten-Tongues_Weerhat,,,Do I look like I hatched yesterday? Come back when you actually have some money.
FALSE,FALSE,Patch for Purists,_20156222432954125163,Argonian,Male,Ten-Tongues_Weerhat,,,"Hey, look. I can't give away all my trade secrets, now can I?"
FALSE,FALSE,Patch for Purists,_196130823143679631,Argonian,Male,Ten-Tongues_Weerhat,,,"I don't see why everyone has to assume that just because I'm capable of offering some very good prices on quality merchandise that there's something shady going on! I was just telling Ahnia the other day that...ahh...err, nevermind."
FALSE,FALSE,Patch for Purists,_3362225121057124641,Argonian,Male,Ten-Tongues_Weerhat,,,"What do you mean? I like you, %Pcname, and I'm just trying to make you a good offer."
FALSE,FALSE,Patch for Purists,_25372258541914617778,Argonian,Male,Ten-Tongues_Weerhat,,,Suit yourself. It'll be gone the next time you come back...
FALSE,FALSE,Patch for Purists,_15903105941233125176,Argonian,Male,Ten-Tongues_Weerhat,,,"Nice try, %PCName. Come back when you've got the cash for it."
FALSE,FALSE,Patch for Purists,_17410238642134315325,Argonian,Male,Ten-Tongues_Weerhat,,,It's a deal. Here you go! Come back soon.
FALSE,FALSE,Patch for Purists,_3104611963357713494,Argonian,Male,Ten-Tongues_Weerhat,,,"Just for you, friend, I've got a great deal here on a Hellfire scroll. I'll part with it for a mere 60 drakes. Interested?"
FALSE,FALSE,Patch for Purists,_1909214902943113,Argonian,Male,Ten-Tongues_Weerhat,,,"Well, since you ask, it turns out I happen to have a Fifth Barrier scroll. 60 drakes. Interested?"
FALSE,FALSE,Patch for Purists,_326283064751725005,Argonian,Male,Ten-Tongues_Weerhat,,,"This is your lucky day, friend! I've got a brand new scroll of Illnea's Breath right here. Want it?"
FALSE,FALSE,Patch for Purists,_3195850381997513934,Argonian,Male,Ten-Tongues_Weerhat,,,"Look, I appreciate the interest, but I only offer extra deals to my valued customers. Nothing personal."
FALSE,FALSE,Patch for Purists,_29950135741694612978,Argonian,Male,Ten-Tongues_Weerhat,,,"Every now and then I'll have special bargains on certain items. Just for valued customers like yourself, of course. Check back with me on a regular basis, and I'll see if I can make you a deal."
FALSE,FALSE,Patch for Purists,_73568883172923504,High Elf,Male,athellor,,,"I have long believed that I, Athellor, have the blood of the Falmer flowing through my veins! I'm on a journey of self-discovery, %PCName. I wish to know who I am, and where I came from. I'm hoping that if I find some evidence of the Falmer's existence, I will better understand myself, and my past. But alas, I'm a noble, not an adventurer. That's why I've come to this establishment. I'm hoping to hire an explorer to do some of the more...physical work. Another drink?"
FALSE,FALSE,Patch for Purists,_12814134512194227469,High Elf,Male,athellor,,,I KNOW I have Falmer ancestors. I can feel the chill Falmer blood coursing through my veins. That's why I'm in this bar. I need to hire an explorer to seek out the evidence I need.
FALSE,FALSE,Patch for Purists,_440713500277001374,Nord,Male,geilir the mumbling,,,"All right then. If you have a change of heart, let me know. I barely escaped from the draugrs the first time I rescued Oddfrid from Kolbjorn Barrow. I'm not sure I want to risk my life again, no matter how much I enjoy Oddfrid's company. Leave me now, %PCClass. As you can see, I have a lot of cleaning up to do."
FALSE,FALSE,Patch for Purists,_701528240255274606,Nord,Male,geilir the mumbling,,,"Excellent. Of course, I knew you were going to help me. I am a seer after all. Now, Kolbjorn Barrow lies to the southeast of here, near the coast. I need you to enter the barrow, find Oddfrid, and return her to me. Do be careful, %PCClass. The draugrs are fast, vicious and entirely without remorse. Go now. I will eagerly await your return."
FALSE,FALSE,Patch for Purists,_49258192596714542,Nord,Male,geilir the mumbling,,,"Excellent. Of course, I knew you were going to help me. I am a seer after all. Now, Kolbjorn Barrow lies to the southeast of here, near the coast. I need you to enter the barrow, find Oddfrid, and return her to me. Do be careful, %PCClass. The draugrs are fast, vicious and entirely without remorse. Go now. I will eagerly await your return."
FALSE,FALSE,Patch for Purists,_14622183191923031526,Nord,Male,geilir the mumbling,,,"My entire family was lost at sea a few months ago, and now I am all alone. My only companion is Oddfrid White-Lip. She talks to me. She tells me things, tells me the future. I rescued her from Kolbjorn Barrow many months ago. But she's been kidnapped by a draugr who lives in Kolbjorn! %PCClass, will you go to the barrow and rescue Oddfrid White-Lip? If you do, then Oddfrid will help me reveal your future!"
TRUE,FALSE,Patch for Purists,_1690423295912415616,Nord,Male,geilir the mumbling,,,"With my family gone, I am all alone, except for Oddfrid White-Lip. She talks to me. She tells me the future. But she's been kidnapped by a draugr who lives in Kolbjorn! %PCClass, will you go to the barrow and rescue Oddfrid White-Lip? If you do, then Oddfrid will help me reveal your future! And, as a show of good faith, I'll also reverse Thormoor's curse!"
TRUE,FALSE,Patch for Purists,_9766301701128124175,Nord,Male,aenar,,,"Very well. I shall start work on it. Come back tomorrow, and it will be ready."
TRUE,FALSE,Patch for Purists,_149532551306801861,Nord,Male,aenar,,,"Very well. I shall start work on them. Come back tomorrow, and they will be ready."
TRUE,FALSE,Patch for Purists,_1672416695910922086,Nord,Male,aenar,,,"Very well. I shall start work on them. Come back tomorrow, and they will be ready."
TRUE,FALSE,Patch for Purists,_197176759725119863,Nord,Male,aenar,,,"Very well. I shall start work on it. Come back tomorrow, and it will be ready."
TRUE,FALSE,Patch for Purists,_190728251872114004,Nord,Male,aenar,,,"Very well. I shall start work on it. Come back tomorrow, and it will be ready."
TRUE,FALSE,Patch for Purists,_28365309482984410732,Nord,Male,aenar,,,"Very well. I shall start work on it. Come back tomorrow, and it will be ready."
